Topic,Count,Name,Representation,Representative_Docs
69,20,69_negeri_negeri negeri_binasa_negeri binasa,"['negeri', 'negeri negeri', 'binasa', 'negeri binasa', 'binasa negeri', 'ada pinggir', 'negeri usir', 'daerah', 'tinggal tinggal', 'pinggir']","['negeri negeri binasa buat zalim tetap waktu binasa', 'bagi berita negeri negeri cerita kepada bagi negeri negeri masih diri tinggal tinggal ada musnah', 'jadi negeri negeri berkah negeri dekat tetap negeri negeri jalan jalan negeri negeri malam siang hari aman']"
70,19,70_azab_azab pedih_timpa azab_pedih,"['azab', 'azab pedih', 'timpa azab', 'pedih', 'timpa', 'kufur', 'akhirat', 'selalu kufur', 'bagi', 'umat']","['madyan saudara syu aib wahai kaum sembah ada bagi jangan kurang takar timbang lihat ada baik khawatir timpa azab hari liput', 'kata wahai nuh turun penuh selamat penuh berkah atas umat umat sama pula umat umat beri senang timpa azab pedih', 'tuhan tahu diri kurang dua tiga malam dua malam tiga golong sama tetap ukur malam siang tahu dapat hitung kepada baca qur mudah tahu sakit jalan bumi cari bagi karunia perang jalan baca mudah dari tegak salat tunai zakat beri pinjam pinjam baik baik buat diri niscaya oleh sisi balas paling baik paling besar pahala mohon ampun maha kam maha sayang']"
71,19,71_amal_amal amal_gugur_gugur amal,"['amal', 'amal amal', 'gugur', 'gugur amal', 'catat amal', 'beri catat', 'catat', 'amal bagi', 'amal kufur', 'bagi amal']","['benci turun gugur amal amal', 'apabila dengar kata buruk paling dari amal amal bagi amal amal sal mun alaikum bodoh', 'kufur halang halang jalan gugur amal amal']"
72,18,72_waktu_ajal_tentu hari_tentu waktu,"['waktu', 'ajal', 'tentu hari', 'tentu waktu', 'tentu', 'waktu tentu', 'tunda', 'waktu rencana', 'paling waktu', 'rencana teguh']","['waktu tentu', 'kata kuasa mudarat manfaat diri hendak umat ajal apabila ajal tiba minta tunda saat dapat minta cepat', 'umat ajal ajal tiba minta tunda saat dapat minta cepat']"
73,18,73_kanan_golong kanan_golong_bawa benar,"['kanan', 'golong kanan', 'golong', 'bawa benar', 'benar', 'masuk benar', 'tentu', 'arah kanan', 'bagi adil', 'belakang kanan']","['golong kanan alangkah mulia golong kanan', 'golong kanan', 'golong kanan']"
74,18,74_terang_cahaya_terang terang_gelap cahaya,"['terang', 'cahaya', 'terang terang', 'gelap cahaya', 'sembah seru', 'turun buah', 'cahaya terang', 'kitab', 'rasul', 'kepada terang']","['wahai iman tobat tobat murni murni mudah mudah tuhan hapus salah salah masuk surga alir bawah sungai sungai hari hina nabi iman sama cahaya pancar hadap belah kanan sempurna cahaya ampun maha kuasa atas segala', 'ikut rasul nabi ummi temu tulis taurat injil ada suruh makruf cegah mungkar halal segala baik haram segala buruk bebas beban beban belenggu belenggu ada adapun iman kepada mulia tolong ikut cahaya terang turun sama itu untung', 'orang rasul baca ayat ayat kepada terang keluar iman kerja kebaji gelap cahaya siapa iman kerja kebaji niscaya masuk surga surga alir bawah sungai sungai kekal dalam lama anugerah rezeki baik kepada']"
75,18,75_tetap_kekal dalam_kekal_lama,"['tetap', 'kekal dalam', 'kekal', 'lama', 'dalam lama', 'dalam', 'bagaimana tetap', 'tetap binasa', 'biar tinggal', 'binasa bagaimana']","['jalan jahanam kekal dalam lama mudah', 'ada kekal dalam lama oleh lindung tolong', 'kekal dalam lama']"
76,17,76_yahudi_nasrani_yahudi nasrani_iman yahudi,"['yahudi', 'nasrani', 'yahudi nasrani', 'iman yahudi', 'sabiin', 'dengar', 'masuk musyrik', 'anut', 'iman', 'musyrik']","['iman yahudi sabiin nasrani siapa iman hari akhir amal saleh ada rasa takut timpa pun sedih', 'iman yahudi nasrani sabiin siapa iman hari akhir laku kebaji dapat pahala tuhan ada rasa takut timpa pun sedih hati', 'yahudi nasrani anut nasrani yahudi anut padahal baca kitab pula beril ucap beri putus hari kiamat selisih']"
77,17,77_saksi_adil_saksi wahai_cukup saksi,"['saksi', 'adil', 'saksi wahai', 'cukup saksi', 'tegak saksi', 'saksi adil', 'saksi atas', 'rasul', 'iman saksi', 'sumpah']","['wahai iman jadi tegak saksi saksi adil jangan benci kaum dorong laku adil laku adil dekat takwa takwa maha teliti kerja', 'apabila dekat akhir idah rujuk baik lepas baik saksi dua saksi adil hendak tegak saksi nasihat iman hari akhir siapa takwa niscaya buka jalan keluar bagi', 'wahai iman saksi apabila datang salah orang mati wasiat dua adil dua jalan bumi timpa musibah mati ragu tahan dua saksi salat sumpah nama ambil untung sumpah karib kerabat sembunyi saksi masuk dosa']"
78,17,78_akhirat_iman_iman akhirat_dunia,"['akhirat', 'iman', 'iman akhirat', 'dunia', 'dunia akhirat', 'kiamat', 'hidup dunia', 'hidup', 'hari kiamat', 'manusia iman']","['wahai iman jangan kufur bicara saudara saudara apabila ada jalan bumi perang anda tetap sama tentu mati bunuh hendak jadi sesal hati hidup mati maha lihat kerja', 'hidup dunia jadi asa indah pandang kufur hina iman padahal takwa ada atas hari kiamat beri rezeki hendak hitung', 'wahai iman kata berangkat jalan rasa berat cenderung dunia nang hidup dunia akhirat padahal nikmat hidup dunia akhirat hanya sedikit']"
79,17,79_pagi_waktu pagi_petang_pagi petang,"['pagi', 'waktu pagi', 'petang', 'pagi petang', 'waktu', 'fajar', 'tasbih waktu', 'pagi hari', 'dongeng', 'tasbih']","['keluar mihrab tuju kaum beri isyarat tasbih waktu pagi petang', 'tasbih waktu pagi petang', 'rumah rumah perintah mulia sebut dalam nama dalam senantiasa tasbih waktu pagi petang']"
80,16,80_berita_bawa berita_bawa_berita gembira,"['berita', 'bawa berita', 'bawa', 'berita gembira', 'gembira beri', 'gembira', 'utus bawa', 'beri ingat', 'berita besar', 'ingat']","['tidak utus seluruh manusia bawa berita gembira beri ingat banyak manusia tahu', 'turun benar turun benar utus bawa berita gembira beri ingat', 'utus bawa benar bawa berita gembira beri ingat ada satu umat kecuali datang kepada orang beri ingat']"
81,15,81_tahu maha_bijaksana_maha bijaksana_tunjuk kepada,"['tahu maha', 'bijaksana', 'maha bijaksana', 'tunjuk kepada', 'maha tahu', 'cipta beri', 'tahu', 'maha', 'terima tobat', 'tahu buat']","['bangun diri senantiasa sebab ragu hati sampai hati potong potong maha tahu maha bijaksana', 'hilang marah hati terima tobat siapa hendak maha tahu maha bijaksana', 'hendak terang kepada tunjuk kepada bagai jalan terima tobat maha tahu maha bijaksana']"
